Last MAJ : 05/06/2018 11:41:31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Risque Qualif ELEC;Risque Qualif CPST;Risque Qualif ASSEMBLY;Risque Qualif RAD;Maturité technologique (détection fin de vie);Monosource;(Techno) d'origine US ?;Besoin spécifique ETCA               ;OQD;OTD;Risque de tri (y compris RadLat) ;Risque Société (taille, santé financière, stratégie);Tenue en radiation garantie spatial;Criticité Globale;Criticité Opérationnelle;Article dépassant le seuil;;SEUIL de Criticité ;Criticité Handling & Storage;Remède : plan d'actions;Commentaire ICS pour PLR;JUSTIFICATION SI MAINTIEN DU CHOIX;;;;;;;;;;;PACL;;;;;;;;;;;;;;;;
3E_Part;Version 3E;Description;Family Code;Group Code;Grade;Package;industrial price (site);Maturity;PLC status (site);PLC Status Type;PLC Comments;PPL;Export IS;NS Category;Criticality;Source;Version;Statut Source;Manufacturer ;Manufacturer Location Country;Cage code;Generic Procurement Specficiation(issue/revision);detailled Procurement Specification (issue/revision);ESD (Code  + Libelle);MSL (Code + Libelle);Qualite;LEAD TIME;;Space Qualified Status;TID RADLAT required;TNID RADLAT required;Nbr 3E;"1/3/5
1 =  pas de risque de Qualif ou Qualif déjà OK
3 = un risque de Qualif est notifié, mais modéré  
5 = un risque de Qualif MAJEUR est notifié ; la Qualification est Critique et doit être validée avant d'autoriser l'emploi du composant";;;;"1/3/5
1 = pas obso
3 = indice d'obso (à 5 ans, ou affectant le produit INDUS équivalent)
5 = OBSO avérée";"1/3/5
1 = pas Monosource
3 = alternative non qualifiée
5 = pas d'alternative";"1/2;
1 = pas US
2 = us";"1/3/5;
1 = non
3 = oui, perfo demandée ""facile"", mais la spec est spécifique TAS
5 = oui, perfo vraiment spécifique";"
1 = non
2 à 4 en fonction feeling LOG
5  = rebuts systémiques";"
1 à 5 en fonction indicateur
1 > 85
85 > 2 > 70
70 > 3 > 60
60 > 4 > 50
5 < 50";"1/3/5;
1 = non
2 à 5  selon expertise RAD team";"1/3/5;
1 = non
2 à 4 en fonction feeling LOG
5 = ouI";"1/5;
1 = non

5 = ouI";;;;;10;;;Commentaire ICS pour PLR;EPC DUAL P FM;EPC SINGLE P FM;PCU NG P FM;PPU MK2 P 0055 FM;PPU MK3 P 0055 FM;SDIU P R FM;PCDU;PPU MK2 P 0055 FM;SDIU MK2;LIGNE ?;End;EPC DUAL P FM;EPC SINGLE P FM;PCU NG P FM;PPU MK3 P 0055 FM;SDIU P R FM;PCDU Product FM;SDIU MK2 P R FM;SDIU P UR FM;EPCDUAL EVO P U FM;RTU P R FM;TRSP P FM;HYBRID LPLC P FM;PPU MK2 P 0055 FM;PCU NEO FM;PCU P UNR FM;ARIANE6 P R FM;PPU MK1 P 0055 FM
1203692;6;LIN HS9-1840ARHQ FP28 Au;08;60;Grade 1;FP-28;0;valid for BOM production;ACC;;;NPPL;ECCN L;9A515.e.1;2;10022948;03;ACTIVE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-95630;CLASS 0 - < 250V;NA - Not applicable;CLASS V;115;1002294803;;;;1;1;1;1;1;1;3;2;1;1;1;1;1;;6;6;0;;est déjà ITAR;5;"""NA""";;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
1203704;3;IC HS9-26C31RH FP16;08;55;Grade 1;FP-16;367,61;valid for BOM production;ACC;;;NPPL;ECCN L;9A515.e.1;2;10022950;02;ACTIVE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-96663;CLASS 1A - 250 - 499V;NA - Not applicable;CLASS V;115;1002295002;;;;1;1;1;1;1;1;3;2;1;1;1;1;1;;6;6;0;;est déjà 9A515;3;;A. SH: OK, attention: statut control export;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;
1203705;4;IC HS9-26C32RH FP16;08;56;Grade 1;FP-16;312,65;valid for BOM production;ACC;;;NPPL;ECCN L;9A515.e.1;2;10022951;02;ACTIVE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-95689;CLASS 1B - 500 - 999V;NA - Not applicable;CLASS V;115;1002295102;;;;1;1;1;1;1;1;3;2;1;1;1;1;1;;6;6;0;;est déjà 9A515;1;;A. SH: OK, attention: statut control export;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;
1203710;4;IC HS9-139RH  FP14;08;53;Grade 1;FP-14;164,94;valid for BOM production;LIM;RAD;BAd beheviour in low dose rate (360 rad/h);NPPL;ECCN L;9A515.e.1;2;10022933;03;ACTIVE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-98613;CLASS 2 - 2000 - 3999V;NA - Not applicable;CLASS V;115;1002293303;;;;1;1;1;1;1;1;1;2;1;1;1;1;1;;2;2;0;;"déjà ITAR ; cf Texas";1;"""NA""";[S.VDM ] Attention à bien prendre les dérives en dose à 300krad non-interpolées ! + PCN à analyser et WCA à mettre à jour si nouveau besoin confirmé !;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
10000017;5;IC IS1009H 2.5VREFSMD;08;52;Grade 1;SMD05-3;0;valid for BOM production;ACC;;;NPPL;ECCN L;9A515.e;2;10022954;02;OBSOLETE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-00523;CLASS 2 - 2000 - 3999V;NA - Not applicable;CLASS V;115;1002295402;;;;1;1;1;1;1;1;3;2;1;1;3;1;1;;18;18;18;;;1;TBD;[S.VDM ] OK mais si possible utiliser la nouvelle ref ISL71090 (article 10541258);;;;;;;;;;;;;;1;;;;;;;;;;;1;;;
10000017;5;IC IS1009H 2.5VREFSMD;08;52;Grade 1;SMD05-3;0;valid for BOM production;ACC;;;NPPL;ECCN L;9A515.e;2;10564479;02;ACTIVE;INTERSIL;USA;;MIL-PRF-38535;SMD-5962-00523;CLASS 2 - 2000 - 3999V;NA - Not applicable;CLASS V;115;1056447902;;;;0;1;1;1;1;1;3;2;1;1;3;1;1;;18;18;18;;;1;TBD;[S.VDM ] OK mais si possible utiliser la nouvelle ref ISL71090 (article 10541258);;;;;;;;;;;;;;1;;;;;;;;;;;1;;;
10500658;4;CONN SUB-D 44P HD OL3;02;03;Grade 1;NA;88,46;valid for BOM production;ACC;;;PPL;NCL;;NA;10500659;03;ACTIVE;C&K COMPONENTS;FRA;F3132;ESCC-3401;ESCC-3401/001;NON SENSITIVE - ?15999V;NA - Not applicable;SCC B;115;1050065903;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;0;;"""NA"" ; pas de réelle criticité";;"""NA""";OK;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
10501012;11;C 1210-I 470PF 5% 200V SN;01;02;Grade 1;1210-2;0;valid for BOM production;LIM;ASSY;Approved locally by QA M&P pending formal ESA approval;PPL;NCL;;NA;10501013;08;INACTIVE;SYFER TECHNOLOGY LTD;GBR;U1579;ESCC-3009;SYFER-S03A 1C;NON SENSITIVE - ?15999V;1 - Unlimited & <= 30°C/85% RH (J-STD-20 classified);EQ SCC C;145;1050101308;;;;1;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;;;;"(EVW) : PLC QUA ASSY
feu vert interne";;;;;;;;;;;;;;;;;;;;1;;;;;;1;;
10501012;11;C 1210-I 470PF 5% 200V SN;01;02;Grade 1;1210-2;0;valid for BOM production;LIM;ASSY;Approved locally by QA M&P pending formal ESA approval;PPL;NCL;;NA;10564436;05;INACTIVE;EXXELIA TECHNOLOGIES;FRA;;ESCC_3009 2;739-08-390 D;NON SENSITIVE - ?15999V;1 - Unlimited & <= 30°C/85% RH (J-STD-20 classified);EQ ESCC;145;1056443603;;;;0;1;1;1;1;1;3;1;1;1;1;1;1;;3;3;0;;;;;(EVW) : QUA ASSY feu vert interne;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;
