Historisation des commentaires ICS indiqué par couple Article-Source;;;;;;;;
Ne pas toucher au contenu de cet onglet;;;;;;;;
ARTICLE;SOURCE;Description;Family code;Group code;COMMENTAIRE;DATE_LOG;OWNER;ARTICLE_SOURCE
H4000A7125B02;10006784;TRANS LNPN 2N5666 DIE;12;01;tenue en dose réduite !!;27/06/2016 09:32;Etienne VAN WYNENDAELE;H4000A7125B021000678401
H4000A7125B02;10006784;TRANS LNPN 2N5666 DIE;12;01;"tenue en dose réduite !!
Modif à  30 krad";27/06/2016 09:33;Etienne VAN WYNENDAELE;H4000A7125B021000678401
10501093;10501096;IC S&H AMP HS-2420 DIL14;08;51;[S.VDM ] OK - Dispo chez Intersil en version radhard, pas de RVT nécessaire. Meme numéro d'article.;29/06/2016 09:48;Didier FRANZ;105010931050109600
10501093;10501096;IC S&H AMP HS-2420 DIL14;08;51;[S.VDM ] OK - Dispo chez Intersil en version radhard, pas de RVT nécessaire. Meme numéro d'article.;29/06/2016 09:48;Didier FRANZ;105010931050109602
10503034;10503037;IC OP AMP RH1014 FP14 SN;08;50;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105030341050303703
10503034;10503037;IC OP AMP RH1014 FP14 SN;08;50;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105030341050303704
10503051;10503054;IC VOLT COMP RH1011 FP10;08;53;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105030511050305401
10503051;10503054;IC VOLT COMP RH1011 FP10;08;53;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105030511050305402
10503122;10503125;IC OP AMP RH1498 FP10 SN;08;50;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105031221050312502
10503122;10503125;IC OP AMP RH1498 FP10 SN;08;50;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105031221050312503
10503600;10503603;IC VOLT REF RH1021-5 FP10;08;52;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105036001050360301
10503600;10503603;IC VOLT REF RH1021-5 FP10;08;52;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105036001050360302
10503614;10503617;IC VOLT REF RH1021CM-10;08;52;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105036141050361701
10503614;10503617;IC VOLT REF RH1021CM-10;08;52;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105036141050361702
10514473;10514474;R PHR1206 0.1% 1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144731051447400
10514473;10514474;R PHR1206 0.1% 1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144731051447401
10514481;10514482;R PHR1206 0.1% 1.21 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144811051448200
10514481;10514482;R PHR1206 0.1% 1.21 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144811051448201
10514488;10514489;R PHR1206 0.1% 1.3 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144881051448900
10514488;10514489;R PHR1206 0.1% 1.3 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144881051448901
10514495;10514496;R PHR1206 0.1% 1.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144951051449600
10514495;10514496;R PHR1206 0.1% 1.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144951051449601
10514495;10514496;R PHR1206 0.1% 1.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105144951051449602
10514506;10514507;R PHR1206 0.1% 1.82 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145061051450701
10514506;10514507;R PHR1206 0.1% 1.82 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145061051450702
10514539;10514540;R PHR1206 0.1% 2.21 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145391051454000
10514539;10514540;R PHR1206 0.1% 2.21 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145391051454001
10514579;10514580;R PHR1206 0.1% 2.74 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145791051458000
10514579;10514580;R PHR1206 0.1% 2.74 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145791051458001
10514583;10514584;R PHR1206 0.1% 3.32 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145831051458400
10514583;10514584;R PHR1206 0.1% 3.32 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145831051458401
10514583;10514584;R PHR1206 0.1% 3.32 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105145831051458402
10514609;10514610;R PHR1206 0.1% 4.75 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146091051461000
10514609;10514610;R PHR1206 0.1% 4.75 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146091051461001
10514622;10514623;R PHR1206 0.1% 5.62 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146221051462300
10514622;10514623;R PHR1206 0.1% 5.62 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146221051462301
10514632;10514633;R PHR1206 0.1% 6.81 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146321051463300
10514632;10514633;R PHR1206 0.1% 6.81 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146321051463301
10514638;10514639;R PHR1206 0.1% 7.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146381051463900
10514638;10514639;R PHR1206 0.1% 7.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146381051463901
10514644;10514645;R PHR1206 0.1% 8.25 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146441051464500
10514644;10514645;R PHR1206 0.1% 8.25 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146441051464501
10514649;10514650;R PHR1206 0.1% 9.09 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146491051465000
10514649;10514650;R PHR1206 0.1% 9.09 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146491051465001
10514651;10514652;R PHR1206 0.1% 10 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146511051465200
10514651;10514652;R PHR1206 0.1% 10 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146511051465201
10514658;10514659;R PHR1206 0.1% 12.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146581051465900
10514658;10514659;R PHR1206 0.1% 12.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105146581051465901
10514854;10514855;R PHR1206 0.1% 15 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148541051485500
10514854;10514855;R PHR1206 0.1% 15 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148541051485501
10514858;10514859;R PHR1206 0.1% 16.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148581051485901
10514858;10514859;R PHR1206 0.1% 16.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148581051485902
10514864;10514865;R PHR1206 0.1% 18.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148641051486500
10514864;10514865;R PHR1206 0.1% 18.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148641051486501
10514876;10514877;R PHR1206 0.1% 22.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148761051487700
10514876;10514877;R PHR1206 0.1% 22.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148761051487701
10514883;10514884;R PHR1206 0.1% 27.4 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148831051488400
10514883;10514884;R PHR1206 0.1% 27.4 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105148831051488401
10514957;10514958;R PHR1206 0.1% 33.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149571051495800
10514957;10514958;R PHR1206 0.1% 33.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149571051495801
10514969;10514970;R PHR1206 0.1% 45.3 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149691051497000
10514969;10514970;R PHR1206 0.1% 45.3 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149691051497001
10514974;10514975;R PHR1206 0.1% 47.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149741051497500
10514974;10514975;R PHR1206 0.1% 47.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149741051497501
10514984;10514985;R PHR1206 0.1% 56.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149841051498500
10514984;10514985;R PHR1206 0.1% 56.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105149841051498501
10515001;10515002;R PHR1206 0.1% 68.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150011051500200
10515001;10515002;R PHR1206 0.1% 68.1 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150011051500201
10515003;10515004;R PHR1206 0.1% 75 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150031051500400
10515003;10515004;R PHR1206 0.1% 75 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150031051500401
10515009;10515010;R PHR1206 0.1% 90.9 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150091051501000
10515009;10515010;R PHR1206 0.1% 90.9 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150091051501001
10515011;10515012;R PHR1206 0.1% 100 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150111051501200
10515011;10515012;R PHR1206 0.1% 100 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150111051501201
10515015;10515016;R PHR1206 0.1% 121 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150151051501600
10515015;10515016;R PHR1206 0.1% 121 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150151051501601
10515021;10515022;R PHR1206 0.1% 150 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150211051502200
10515026;10515027;R PHR1206 0.1% 200 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150261051502700
10515031;10515032;R PHR1206 0.1% 221 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150311051503200
10515033;10515034;R PHR1206 0.1% 56.2 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150331051503400
10515035;10515036;R PHR1206 0.1% 68.1 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150351051503600
10515039;10515040;R PHR1206 0.1% 100 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150391051504000
10515072;10515073;R PHR1206 0.1% 332 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150721051507301
10515072;10515073;R PHR1206 0.1% 332 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150721051507302
10515074;10515075;R PHR1206 0.1% 475 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150741051507500
10515078;10515079;R PHR1206 0.1% 681 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150781051507900
10515083;10515084;R PHR1206 0.1% 825 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105150831051508400
10515882;10515883;R PHR1206 0.1% 82.5 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105158821051588300
10524053;10524056;AT17LV010-10DP FP-28;08;24;A.SH: OK, Tenue en radiation n'est pas garantie en mode écriture en VOL;29/06/2016 09:48;Didier FRANZ;105240531052405603
10524053;10524056;AT17LV010-10DP FP-28;08;24;A.SH: OK, Tenue en radiation n'est pas garantie en mode écriture en VOL;29/06/2016 09:48;Didier FRANZ;105240531052405604
10524140;10524143;RM2010 68R 20% .8W UNTR;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105241401052414301
10526125;10526127;CONN KNC 160 13 11 110 P;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;105261251052612701
10536363;10536366;CSM3637 50 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105363631053636600
10536363;10536366;CSM3637 50 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105363631053636601
10536375;10536378;CSM3637 100 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105363751053637800
10536375;10536378;CSM3637 100 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105363751053637801
10536454;10536457;CSM3637 10 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105364541053645700
10536454;10536457;CSM3637 10 mR 0.5%;10;07;"Limitation utilisation?
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105364541053645701
10539447;10539449;CONN TEST 12C F DR SMD;02;03;[JDL] : Test connector;29/06/2016 09:48;Didier FRANZ;105394471053944901
10539447;10539449;CONN TEST 12C F DR SMD;02;03;[JDL] : Test connector;29/06/2016 09:48;Didier FRANZ;105394471053944902
10539447;10539449;CONN TEST CMM12C F SMD DR;02;03;[JDL] : Test connector;29/06/2016 09:48;Didier FRANZ;105394471053944903
10540447;10540448;CSM3637 5 mR 0.5%;10;07;"qualif de report: on attend approbation officielle de l'ESA.
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105404471054044800
10540447;10540448;CSM3637 5 mR 0.5%;10;07;"qualif de report: on attend approbation officielle de l'ESA.
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105404471054044801
10540449;10540450;CSM3637 6.8 mR 0.5%;10;07;"qualif de report: on attend approbation officielle de l'ESA.
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105404491054045000
10540449;10540450;CSM3637 6.8 mR 0.5%;10;07;"qualif de report: on attend approbation officielle de l'ESA.
[MB:OK]";29/06/2016 09:48;Didier FRANZ;105404491054045001
10540738;10540739;R PHR1206 0.1% 82.5 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407381054073900
10540745;10540746;R PHR1206 0.1% 182 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407451054074600
10540747;10540748;R PHR1206 0.1% 221 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407471054074800
10540751;10540752;R PHR1206 0.1% 392 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407511054075200
10540755;10540756;R PHR1206 0.1% 562 Ohm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407551054075600
10540757;10540758;R PHR1206 0.1% 39.2 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407571054075800
10540759;10540760;R PHR1206 0.1% 274 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407591054076000
10540761;10540762;R PHR1206 0.1% 332 kOhm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105407611054076200
10541258;10541261;IC VOLT REF ISL71090SEH25;08;52;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;105412581054126100
10541395;10541398;RM0603 2.21kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105413951054139800
10541414;10541415;RM0603 3.32kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414141054141500
10541416;10541417;RM0603 4.75kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414161054141700
10541418;10541419;RM0603 6.81kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414181054141900
10541420;10541421;RM0603 22.1kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414201054142100
10541422;10541423;RM0603 33.2kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414221054142300
10541424;10541425;RM0603 47.5kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414241054142500
10541431;10541432;RM0603 100kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414311054143200
10541433;10541434;RM0603 221kOhm 1% 100ppm;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414331054143400
10541437;10541443;RM0603 0 Ohm  JUMPER;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;105414371054144300
10542339;10542342;1N4568AUR-1 6.4V +/-1%;04;04;[NP]: Ok appro à anticiper si quantité imortante (article trié);29/06/2016 09:48;Didier FRANZ;105423391054234201
10545524;10545526;CONN TEST uCOMP 25P 1A7N;02;03;[JDL] : Test connector;29/06/2016 09:48;Didier FRANZ;105455241054552600
10545707;10545710;ASIC SMC1310A;08;40;A.SH: Composant qualifié: OK;29/06/2016 09:48;Didier FRANZ;105457071054571000
10548953;10548954;C1812 T2 470nF 10% 100V;01;02;[MB:OK];29/06/2016 09:48;Didier FRANZ;105489531054895400
74280200;10000842;CONN SUB-D 26P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742802001000084200
74280200;10000843;CONN SUB-D 26P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742802001000084300
74280400;10000876;CONN SUB-D 44P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742804001000087600
74280400;10000877;CONN SUB-D 44P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742804001000087700
74280400;10000876;CONN SUB-D 44P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742804001000087601
74280400;10000877;CONN SUB-D 44P HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742804001000087701
74280500;10000887;CONN SUB-D 44S HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742805001000088700
74280500;10000888;CONN SUB-D 44S HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742805001000088800
74280500;10000887;CONN SUB-D 44S HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742805001000088701
74280500;10000888;CONN SUB-D 44S HD 1CON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742805001000088801
74280800;10000908;CONN SUB-D 78P HD 1DON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742808001000090800
74280800;10000909;CONN SUB-D 78P HD 1DON;02;03;OK - voir mail Jean Lacrosse;29/06/2016 09:48;Didier FRANZ;742808001000090901
74281200;10000944;CONN SAVER SUB-D HD 78PS;02;99;OK-saver;29/06/2016 09:48;Didier FRANZ;742812001000094401
74281200;10000944;CONN SAVER SUB-D HD 78PS;02;99;OK-saver;29/06/2016 09:48;Didier FRANZ;742812001000094402
74281200;10000944;CONN SAVER SUB-D HD 78PS;02;99;OK-saver;29/06/2016 09:48;Didier FRANZ;742812001000094403
74350400;10000729;R 1206 681kOhm 1% SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;743504001000072901
74350400;10000730;R 1206 681kOhm 1% SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;743504001000073001
74350400;10000731;R 1206 681kOhm 1% SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;743504001000073102
74350400;10000731;R 1206 681kOhm 1% SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;743504001000073103
75524300;10000767;R 1206 0 Ohm SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;755243001000076701
75524300;10000768;R 1206 0 Ohm SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;755243001000076801
75524300;10000767;R 1206 0 Ohm SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;755243001000076702
75524300;10000768;R 1206 0 Ohm SN;10;09;[MB:OK];29/06/2016 09:48;Didier FRANZ;755243001000076802
84417100;10019881;C0805-II 330NF 16V 10%SN;01;02;[MB:OK];29/06/2016 09:48;Didier FRANZ;844171001001988105
87992900;10013435;G15K4D489 15K 1%;11;01;[MB: OK];29/06/2016 09:48;Didier FRANZ;879929001001343501
87992900;10013435;G15K4D489 15K 1%;11;01;[MB: OK];29/06/2016 09:48;Didier FRANZ;879929001001343502
104705000;10005638;1N4104UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047050001000563802
104705000;10514790;1N4104UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047050001051479001
104705000;10005638;1N4104UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047050001000563803
104705000;10514790;1N4104UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047050001051479002
104705700;10005643;1N4114UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047057001000564301
104705700;10514792;1N4114UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047057001051479201
104705700;10005643;1N4114UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047057001000564302
104705700;10514792;1N4114UR-1 DO213AA SnPb;04;03;[NP]: Ok;29/06/2016 09:48;Didier FRANZ;1047057001051479202
520200104;10005676;TRANS LPNP 2N2907 SOC3 AU;12;02;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;5202001041000567601
520200104;10005676;TRANS LPNP 2N2907 SOC3 AU;12;02;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;5202001041000567602
520200104;10005676;TRANS LPNP 2N2907 SOC3 Au;12;02;[S.VDM ] OK;29/06/2016 09:48;Didier FRANZ;5202001041000567604
